DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-01,491291,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-02,466672,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-03,296362,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-04,51185,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-05,63922,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-06,104769,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-07,256449,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-08,324538,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-09,274676,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-10,239026,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-11,159858,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2020-12,167005,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-01,156889,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-02,126019,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-03,152013,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-04,172831,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-05,210680,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-06,302274,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-07,443176,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-08,478996,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-09,444324,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-10,434815,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-11,374216,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,NR,EU27_2020,2021-12,383764,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-01,-0.8,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-02,1.4,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-03,-44.1,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-04,-91.2,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-05,-89.8,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-06,-84.2,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-07,-63.5,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-08,-53.4,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-09,-58.7,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-10,-61.5,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-11,-68.3,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2020-12,-66.9,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-01,-68.1,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-02,-73.0,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-03,-48.7,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-04,237.7,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-05,229.6,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-06,188.5,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-07,72.8,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-08,47.6,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-09,61.8,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-10,81.9,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-11,134.1,
ESTAT:AVIA_TF_CM(1.0),10/11/22 11:00:00,M,PCH_M12,EU27_2020,2021-12,129.8,
